Result Number,Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
11,LC08_L2SP_205023_20130526_20200913_02_T1,LC08_L1TP_205023_20130526_20200913_02_T1,LC82050232013146LGN01,2013/05/26,T1,2, 205, 023, 205, 023,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-26 11:18:31.268834,2013-05-26 11:19:01.064854,LGN,DAY,  23.66,  14.81,266,5,    7.670,    5.230,    5.610,LPGS_15.3.1c,56.16767688,154.93052414,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,53°06'09.22"N,5°05'35.48"W,54°05'46.18"N,6°58'02.82"W,54°09'40.18"N,3°19'12.29"W,52°00'39.28"N,6°46'48.50"W,52°04'16.28"N,3°18'17.71"W, 53.10256,  -5.09319, 54.09616,  -6.96745, 54.16116,  -3.32008, 52.01091,  -6.78014, 52.07119,  -3.30492,LC08_L2SP_205023_20130526_20200913_02_T1,LC82050232013146LGN01
12,LC08_L2SP_205024_20130526_20200912_02_T1,LC08_L1TP_205024_20130526_20200912_02_T1,LC82050242013146LGN01,2013/05/26,T1,2, 205, 024, 205, 024,NADIR,   0.000,2020/09/12,2020/09/12,2013-05-26 11:18:55.159871,2013-05-26 11:19:24.955891,LGN,DAY,  26.59,   5.14,196,5,    8.291,    5.624,    6.092,LPGS_15.3.1c,57.28677865,153.08757028,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,51°41'34.91"N,5°44'46.97"W,52°40'44.76"N,7°34'29.24"W,52°45'46.26"N,4°02'35.99"W,50°35'32.10"N,7°22'08.80"W,50°40'11.93"N,3°59'46.46"W, 51.69303,  -5.74638, 52.67910,  -7.57479, 52.76285,  -4.04333, 50.59225,  -7.36911, 50.66998,  -3.99624,LC08_L2SP_205024_20130526_20200912_02_T1,LC82050242013146LGN01
13,LC08_L2SP_204021_20130604_20200913_02_T1,LC08_L1TP_204021_20130604_20200913_02_T1,LC82040212013155LGN01,2013/06/04,T1,2, 204, 021, 204, 021,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-04 11:11:32.284161,2013-06-04 11:12:02.080181,LGN,DAY,  16.32,  16.46,823,5,    6.785,    4.637,    4.953,LPGS_15.3.1c,55.05023446,157.45466042,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'40.82"N,2°07'07.21"W,56°56'02.08"N,4°01'43.28"W,56°54'21.60"N,0°09'55.51"W,54°52'39.14"N,3°58'32.34"W,54°51'06.08"N,0°18'40.93"W, 55.91134,  -2.11867, 56.93391,  -4.02869, 56.90600,  -0.16542, 54.87754,  -3.97565, 54.85169,  -0.31137,LC08_L2SP_204021_20130604_20200913_02_T1,LC82040212013155LGN01
14,LC08_L2SP_204025_20130604_20200913_02_T1,LC08_L1TP_204025_20130604_20200913_02_T1,LC82040252013155LGN01,2013/06/04,T1,2, 204, 025, 204, 025,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-04 11:13:07.831364,2013-06-04 11:13:37.627385,LGN,DAY,   0.18,   8.57,410,5,    6.990,    4.344,    5.476,LPGS_15.3.1c,59.48809054,149.79266141,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'51.17"N,4°48'51.23"W,51°16'13.87"N,6°33'04.32"W,51°19'27.41"N,3°09'43.81"W,49°12'17.57"N,6°24'02.88"W,49°15'17.50"N,3°09'19.04"W, 50.28088,  -4.81423, 51.27052,  -6.55120, 51.32428,  -3.16217, 49.20488,  -6.40080, 49.25486,  -3.15529,LC08_L2SP_204025_20130604_20200913_02_T1,LC82040252013155LGN01
15,LC08_L2SP_202024_20130606_20200913_02_T1,LC08_L1TP_202024_20130606_20200913_02_T1,LC82020242013157LGN01,2013/06/06,T1,2, 202, 024, 202, 024,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-06 11:00:21.837292,2013-06-06 11:00:51.633312,LGN,DAY,  14.80,  14.69,737,5,    6.369,    4.335,    4.666,LPGS_15.3.1c,58.59094053,151.53808036,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,51°41'35.09"N,1°06'04.93"W,52°42'38.05"N,2°46'03.40"W,52°39'16.70"N,0°38'51.54"E,50°41'44.20"N,2°46'39.76"W,50°38'36.78"N,0°29'22.27"E, 51.69308,  -1.10137, 52.71057,  -2.76761, 52.65464,   0.64765, 50.69561,  -2.77771, 50.64355,   0.48952,LC08_L2SP_202024_20130606_20200913_02_T1,LC82020242013157LGN01
16,LC08_L2SP_202025_20130606_20200912_02_T1,LC08_L1TP_202025_20130606_20200912_02_T1,LC82020252013157LGN01,2013/06/06,T1,2, 202, 025, 202, 025,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-06 11:00:45.715621,2013-06-06 11:01:15.511641,LGN,DAY,  12.67,   6.88,422,5,    7.018,    4.635,    5.270,LPGS_15.3.1c,59.65896974,149.49493185,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'52.61"N,1°43'15.24"W,51°17'29.40"N,3°21'04.90"W,51°15'16.20"N,0°02'10.79"W,49°16'24.13"N,3°20'12.52"W,49°14'20.08"N,0°09'31.90"W, 50.28128,  -1.72090, 51.29150,  -3.35136, 51.25450,  -0.03633, 49.27337,  -3.33681, 49.23891,  -0.15886,LC08_L2SP_202025_20130606_20200912_02_T1,LC82020252013157LGN01
17,LC08_L2SP_202026_20130606_20200912_02_T1,LC08_L1TP_202026_20130606_20200912_02_T1,LC82020262013157LGN01,2013/06/06,T1,2, 202, 026, 202, 026,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-06 11:01:09.602422,2013-06-06 11:01:39.398442,LGN,DAY,  10.42,  11.02,296,5,    8.194,    5.339,    6.216,LPGS_15.3.1c,60.69803686,147.35621431,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'59.22"N,2°18'38.99"W,49°52'19.34"N,3°54'31.50"W,49°51'09.07"N,0°41'11.44"W,47°50'53.59"N,3°52'22.19"W,47°49'48.11"N,0°46'40.37"W, 48.86645,  -2.31083, 49.87204,  -3.90875, 49.85252,  -0.68651, 47.84822,  -3.87283, 47.83003,  -0.77788,LC08_L2SP_202026_20130606_20200912_02_T1,LC82020262013157LGN01
18,LC08_L2SP_209022_20130607_20200912_02_T1,LC08_L1TP_209022_20130607_20200912_02_T1,LC82090222013158LGN01,2013/06/07,T1,2, 209, 022, 209, 022,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-07 11:42:49.459263,2013-06-07 11:43:19.255283,LGN,DAY,   3.55,   0.41,186,5,    2.242,    1.473,    1.690,LPGS_15.3.1c,56.46285662,155.26792307,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,54°30'31.18"N,10°34'17.47"W,55°30'29.12"N,12°29'59.86"W,55°33'28.04"N,8°43'21.25"W,53°25'29.86"N,12°19'34.93"W,53°28'15.60"N,8°44'10.90"W, 54.50866, -10.57152, 55.50809, -12.49996, 55.55779,  -8.72257, 53.42496, -12.32637, 53.47100,  -8.73636,LC08_L2SP_209022_20130607_20200912_02_T1,LC82090222013158LGN01
19,LC08_L2SP_207019_20130609_20200913_02_T1,LC08_L1TP_207019_20130609_20200913_02_T1,LC82070192013160LGN01,2013/06/09,T1,2, 207, 019, 207, 019,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-09 11:29:15.462685,2013-06-09 11:29:45.258705,LGN,DAY,  28.98,  17.57,767,5,    5.328,    3.609,    3.920,LPGS_15.3.1c,53.14742003,160.48089165,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,58°42'14.80"N,5°08'00.96"W,59°42'30.71"N,7°21'22.54"W,59°46'50.88"N,3°02'27.46"W,57°35'18.53"N,7°05'58.02"W,57°39'17.93"N,3°02'18.74"W, 58.70411,  -5.13360, 59.70853,  -7.35626, 59.78080,  -3.04096, 57.58848,  -7.09945, 57.65498,  -3.03854,LC08_L2SP_207019_20130609_20200913_02_T1,LC82070192013160LGN01
20,LC08_L2SP_207020_20130609_20200912_02_T1,LC08_L1TP_207020_20130609_20200912_02_T1,LC82070202013160LGN01,2013/06/09,T1,2, 207, 020, 207, 020,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-09 11:29:39.34525,2013-06-09 11:30:09.14127,LGN,DAY,  17.04,  10.38,1341,5,    5.375,    3.682,    3.917,LPGS_15.3.1c,54.31879248,158.69953751,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,57°18'35.32"N,5°57'59.51"W,58°20'52.33"N,7°51'56.16"W,58°15'04.61"N,3°54'16.31"W,56°19'27.73"N,7°55'34.72"W,56°14'05.82"N,4°10'33.56"W, 57.30981,  -5.96653, 58.34787,  -7.86560, 58.25128,  -3.90453, 56.32437,  -7.92631, 56.23495,  -4.17599,LC08_L2SP_207020_20130609_20200912_02_T1,LC82070202013160LGN01
21,LC08_L2SP_207021_20130609_20200912_02_T1,LC08_L1TP_207021_20130609_20200912_02_T1,LC82070212013160LGN01,2013/06/09,T1,2, 207, 021, 207, 021,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-09 11:30:03.227815,2013-06-09 11:30:33.023835,LGN,DAY,   6.71,   2.93,789,5,    5.259,    3.665,    3.772,LPGS_15.3.1c,55.47238303,156.88687647,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,55°54'40.32"N,6°44'45.20"W,56°56'24.68"N,8°35'56.33"W,56°52'10.24"N,4°46'45.59"W,54°54'37.84"N,8°37'09.88"W,54°50'42"N,4°59'36.96"W, 55.91120,  -6.74589, 56.94019,  -8.59898, 56.86951,  -4.77933, 54.91051,  -8.61941, 54.84500,  -4.99360,LC08_L2SP_207021_20130609_20200912_02_T1,LC82070212013160LGN01
22,LC08_L2SP_207022_20130609_20200912_02_T1,LC08_L1TP_207022_20130609_20200912_02_T1,LC82070222013160LGN01,2013/06/09,T1,2, 207, 022, 207, 022,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-09 11:30:27.114616,2013-06-09 11:30:56.910636,LGN,DAY,   5.94,   6.09,1050,5,    3.757,    2.494,    2.811,LPGS_15.3.1c,56.60647129,155.02890046,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,54°30'30.49"N,7°28'41.48"W,55°31'50.92"N,9°17'17.99"W,55°29'01.57"N,5°35'38.54"W,53°29'42.90"N,9°16'27.62"W,53°27'05.72"N,5°45'32.15"W, 54.50847,  -7.47819, 55.53081,  -9.28833, 55.48377,  -5.59404, 53.49525,  -9.27434, 53.45159,  -5.75893,LC08_L2SP_207022_20130609_20200912_02_T1,LC82070222013160LGN01
23,LC08_L2SP_207023_20130609_20200912_02_T1,LC08_L1TP_207023_20130609_20200912_02_T1,LC82070232013160LGN01,2013/06/09,T1,2, 207, 023, 207, 023,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-09 11:30:50.997181,2013-06-09 11:31:20.793201,LGN,DAY,   9.20,   9.09,723,5,    5.063,    3.619,    3.541,LPGS_15.3.1c,57.71856376,153.11327258,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,53°06'08.89"N,8°10'06.24"W,54°07'03.04"N,9°56'05.17"W,54°05'32.24"N,6°21'55.19"W,52°04'34.68"N,9°53'29.54"W,52°03'10.37"N,6°29'13.31"W, 53.10247,  -8.16840, 54.11751,  -9.93477, 54.09229,  -6.36533, 52.07630,  -9.89154, 52.05288,  -6.48703,LC08_L2SP_207023_20130609_20200912_02_T1,LC82070232013160LGN01
24,LC08_L2SP_204026_20130620_20200912_02_T2,LC08_L1GT_204026_20130620_20200912_02_T2,LC82040262013171LGN01,2013/06/20,T2,2, 204, 026, 204, 026,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-20 11:13:24.300261,2013-06-20 11:13:54.096281,LGN,DAY,   0.01,  13.68,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.11901066,145.49747558,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'59.47"N,5°21'58.90"W,49°51'01.26"N,7°03'34.52"W,49°55'08.08"N,3°46'18.23"W,47°46'57.68"N,6°53'44.59"W,47°50'47.26"N,3°44'25.73"W, 48.86652,  -5.36636, 49.85035,  -7.05959, 49.91891,  -3.77173, 47.78269,  -6.89572, 47.84646,  -3.74048,LC08_L2SP_204026_20130620_20200912_02_T2,LC82040262013171LGN01
25,LC08_L2SP_204019_20130706_20200912_02_T2,LC08_L1GT_204019_20130706_20200912_02_T2,LC82040192013187LGN01,2013/07/06,T2,2, 204, 019, 204, 019,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-06 11:10:40.196627,2013-07-06 11:11:11.966623,LGN,DAY,   0.27,   1.50,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,52.58380339,158.53560917,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,58°42'14.26"N,0°28'54.30"W,59°48'15.05"N,2°31'20.42"W,59°43'13.58"N,1°42'50.15"E,57°38'26.59"N,2°33'03.92"W,57°33'49.54"N,1°25'52.93"E, 58.70396,  -0.48175, 59.80418,  -2.52234, 59.72044,   1.71393, 57.64072,  -2.55109, 57.56376,   1.43137,LC08_L2SP_204019_20130706_20200912_02_T2,LC82040192013187LGN01
26,LC08_L2SP_204020_20130706_20200912_02_T1,LC08_L1TP_204020_20130706_20200912_02_T1,LC82040202013187LGN01,2013/07/06,T1,2, 204, 020, 204, 020,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-06 11:11:04.074956,2013-07-06 11:11:35.844951,LGN,DAY,   4.13,   0.76,301,5,    6.973,    4.561,    5.274,LPGS_15.3.1c,53.72538351,156.72585762,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,57°18'34.81"N,1°18'52.42"W,58°23'53.99"N,3°18'22.46"W,58°20'35.48"N,0°46'09.91"E,56°13'53.94"N,3°17'19.46"W,56°10'51.20"N,0°33'16.42"E, 57.30967,  -1.31456, 58.39833,  -3.30624, 58.34319,   0.76942, 56.23165,  -3.28874, 56.18089,   0.55456,LC08_L2SP_204020_20130706_20200912_02_T1,LC82040202013187LGN01
27,LC08_L2SP_204021_20130706_20200912_02_T1,LC08_L1TP_204021_20130706_20200912_02_T1,LC82040212013187LGN01,2013/07/06,T1,2, 204, 021, 204, 021,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-06 11:11:27.953285,2013-07-06 11:11:59.72328,LGN,DAY,   7.40,   4.14,678,5,    7.595,    4.986,    5.729,LPGS_15.3.1c,54.84793436,154.88605920,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'39.64"N,2°05'37.90"W,56°59'25.66"N,4°02'06.68"W,56°57'40.61"N,0°06'24.95"W,54°49'15.20"N,3°58'44.26"W,54°47'38.36"N,0°15'49.90"W, 55.91101,  -2.09386, 56.99046,  -4.03519, 56.96128,  -0.10693, 54.82089,  -3.97896, 54.79399,  -0.26386,LC08_L2SP_204021_20130706_20200912_02_T1,LC82040212013187LGN01
28,LC08_L2SP_204022_20130706_20200912_02_T1,LC08_L1TP_204022_20130706_20200912_02_T1,LC82040222013187LGN01,2013/07/06,T1,2, 204, 022, 204, 022,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-06 11:11:51.831613,2013-07-06 11:12:23.601609,LGN,DAY,  14.88,  11.39,597,5,    7.231,    4.834,    5.378,LPGS_15.3.1c,55.94947551,153.00333211,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,54°30'30.53"N,2°49'33.46"W,55°34'42.17"N,4°43'15.89"W,55°34'22.37"N,0°55'25.79"W,53°24'22.36"N,4°37'55.78"W,53°24'04.07"N,1°01'51.85"W, 54.50848,  -2.82596, 55.57838,  -4.72108, 55.57288,  -0.92383, 53.40621,  -4.63216, 53.40113,  -1.03107,LC08_L2SP_204022_20130706_20200912_02_T1,LC82040222013187LGN01
